fold,true_label,predicted_label,prediction_probability,site
1,1,1,0.7262075543403625,PITT
1,1,1,0.8747310638427734,PITT
1,1,1,0.898581326007843,PITT
1,1,0,0.22134476900100708,PITT
1,1,1,0.8974473476409912,PITT
1,1,1,0.9418864846229553,PITT
1,1,1,0.8765294551849365,PITT
1,0,1,0.8302168250083923,PITT
1,0,1,0.7542520761489868,PITT
1,0,0,0.3155249357223511,PITT
1,0,1,0.8960338234901428,PITT
1,0,0,0.19878314435482025,PITT
1,0,1,0.8659582734107971,PITT
1,0,1,0.7188414931297302,OLIN
1,0,0,0.1374872475862503,OLIN
1,0,1,0.8531840443611145,OLIN
1,0,1,0.827434241771698,OLIN
1,0,0,0.1452619582414627,OLIN
1,1,1,0.8437260389328003,OLIN
1,1,0,0.4726339876651764,OLIN
1,1,0,0.2172880619764328,OLIN
1,1,0,0.15738491714000702,OHSU
1,0,1,0.8386195302009583,OHSU
1,0,1,0.8531364798545837,OHSU
1,0,1,0.8378297090530396,OHSU
1,0,1,0.6061010360717773,OHSU
1,1,0,0.08681156486272812,SDSU
1,1,1,0.9053542017936707,SDSU
1,1,1,0.953080415725708,SDSU
1,1,1,0.5537630915641785,SDSU
1,1,0,0.121836818754673,TRINITY
1,1,1,0.6861854195594788,TRINITY
1,1,1,0.77047199010849,TRINITY
1,1,1,0.8330497145652771,TRINITY
1,1,1,0.8583377003669739,TRINITY
1,1,1,0.8974961042404175,TRINITY
1,1,1,0.8668732047080994,TRINITY
1,0,1,0.5321551561355591,TRINITY
1,1,1,0.6726176738739014,UM_1
1,1,1,0.5666007995605469,UM_1
1,1,0,0.48831358551979065,UM_1
1,1,1,0.937186062335968,UM_1
1,1,1,0.7588824033737183,UM_1
1,1,0,0.12053021043539047,UM_1
1,1,1,0.8955309987068176,UM_1
1,1,1,0.860144853591919,UM_1
1,0,1,0.7338904738426208,UM_1
1,0,0,0.1628381758928299,UM_1
1,0,0,0.4624158442020416,UM_1
1,0,1,0.7439463138580322,UM_1
1,0,1,0.7812651991844177,UM_1
1,0,0,0.21870118379592896,UM_1
1,0,1,0.8690729737281799,UM_1
1,0,0,0.45773831009864807,UM_1
1,0,0,0.4802227020263672,UM_1
1,0,1,0.5560464262962341,UM_1
1,0,0,0.13269780576229095,UM_1
1,0,0,0.1985420137643814,UM_2
1,0,0,0.4663151204586029,UM_2
1,1,0,0.1621716171503067,UM_2
1,1,1,0.8627045750617981,UM_2
1,0,1,0.8839160203933716,UM_2
1,0,0,0.13415098190307617,UM_2
1,0,1,0.7372600436210632,UM_2
1,0,1,0.8525561094284058,UM_2
1,0,0,0.13969576358795166,UM_2
1,0,1,0.7781378626823425,USM
1,0,0,0.1751282513141632,USM
1,0,1,0.7743757367134094,USM
1,0,1,0.8743354082107544,USM
1,0,1,0.7623566389083862,USM
1,0,0,0.283425509929657,USM
1,1,1,0.8854771852493286,USM
1,1,1,0.9045394062995911,USM
1,1,1,0.807047963142395,USM
1,1,1,0.7532010078430176,USM
1,1,1,0.8956984281539917,USM
1,1,1,0.7481729984283447,USM
1,0,0,0.247534841299057,YALE
1,0,1,0.7085829973220825,YALE
1,0,0,0.11530347913503647,YALE
1,0,1,0.5089727640151978,YALE
1,1,0,0.38527530431747437,YALE
1,1,1,0.8344609141349792,YALE
1,1,1,0.8415064215660095,YALE
1,1,1,0.6803637146949768,YALE
1,1,1,0.7126324772834778,YALE
1,0,0,0.28969135880470276,LEUVEN_1
1,0,1,0.6892676949501038,LEUVEN_1
1,0,1,0.7389562726020813,LEUVEN_1
1,0,1,0.7015798687934875,LEUVEN_1
1,0,0,0.32612985372543335,LEUVEN_1
1,1,1,0.8987811207771301,LEUVEN_1
1,0,0,0.3038206398487091,LEUVEN_2
1,1,0,0.3365156054496765,LEUVEN_2
1,0,0,0.11219395697116852,KKI
1,1,0,0.16323986649513245,KKI
1,0,0,0.18753819167613983,KKI
1,1,1,0.7958989143371582,NYU
1,1,1,0.8183547854423523,NYU
1,1,0,0.21383129060268402,NYU
1,1,1,0.8110755681991577,NYU
1,1,1,0.7496354579925537,NYU
1,1,0,0.17953132092952728,NYU
1,1,0,0.20292246341705322,NYU
1,1,1,0.9067284464836121,NYU
1,1,1,0.7962257862091064,NYU
1,1,1,0.7500473856925964,NYU
1,1,1,0.888897180557251,NYU
1,1,1,0.8449167609214783,NYU
1,1,1,0.7889893651008606,NYU
1,1,1,0.8223665952682495,NYU
1,1,1,0.7961973547935486,NYU
1,1,1,0.8296305537223816,NYU
1,0,0,0.09377440810203552,NYU
1,0,0,0.3170931935310364,NYU
1,0,0,0.0996166244149208,NYU
1,0,0,0.3379173278808594,NYU
1,0,0,0.16322878003120422,NYU
1,0,0,0.12578973174095154,NYU
1,0,1,0.6727452874183655,NYU
1,0,1,0.8675031661987305,NYU
1,0,1,0.8216317296028137,NYU
1,0,1,0.5725104212760925,NYU
1,0,0,0.10401984304189682,NYU
1,0,1,0.8598396182060242,NYU
1,0,0,0.1578812301158905,NYU
1,0,0,0.41344401240348816,NYU
1,0,0,0.10122896730899811,NYU
1,0,1,0.8172277212142944,NYU
1,0,0,0.10879120975732803,NYU
1,0,1,0.701837420463562,NYU
1,0,1,0.8424473404884338,TRINITY
1,0,0,0.25269821286201477,TRINITY
1,0,0,0.1609751433134079,NYU
1,0,0,0.1974741369485855,NYU
1,0,0,0.12478917837142944,NYU
1,0,0,0.1093999594449997,NYU
1,0,0,0.15830111503601074,NYU
1,1,0,0.12841470539569855,STANFORD
1,1,0,0.1881817877292633,STANFORD
1,1,0,0.3145541250705719,STANFORD
1,1,0,0.2598932981491089,STANFORD
1,0,0,0.11548006534576416,STANFORD
1,0,0,0.15703818202018738,STANFORD
1,1,1,0.7704569101333618,UCLA_1
1,1,1,0.9046263098716736,UCLA_1
1,1,1,0.8154051899909973,UCLA_1
1,1,1,0.7286916375160217,UCLA_1
1,1,1,0.8595446348190308,UCLA_1
1,1,1,0.5791744589805603,UCLA_1
1,1,1,0.8761036396026611,UCLA_1
1,1,1,0.9094631671905518,UCLA_1
1,0,0,0.09091696888208389,UCLA_1
1,0,0,0.09872990101575851,UCLA_1
1,0,0,0.20384696125984192,UCLA_1
1,0,0,0.08637113869190216,UCLA_1
1,0,1,0.8375037312507629,UCLA_1
1,1,1,0.7805241346359253,UCLA_2
1,1,0,0.1325344443321228,UCLA_2
1,0,1,0.6755448579788208,UCLA_2
1,0,1,0.7399547696113586,UCLA_2
1,1,0,0.3668345808982849,MAX_MUN
1,1,1,0.8150570392608643,MAX_MUN
1,1,1,0.9152885675430298,MAX_MUN
1,0,1,0.8447677493095398,MAX_MUN
1,0,0,0.22339175641536713,MAX_MUN
1,0,0,0.4158867299556732,MAX_MUN
1,0,1,0.7218634486198425,MAX_MUN
1,0,1,0.8888005614280701,MAX_MUN
1,0,0,0.08230132609605789,MAX_MUN
1,0,1,0.8000178337097168,CALTECH
1,0,0,0.3267802298069,CALTECH
1,1,0,0.279724657535553,SBL
1,1,1,0.9129348993301392,SBL
2,1,1,0.7811756730079651,PITT
2,1,0,0.17492882907390594,PITT
2,0,1,0.776357114315033,PITT
2,0,1,0.8614314198493958,PITT
2,0,1,0.701229989528656,OLIN
2,0,1,0.7918294668197632,OLIN
2,1,1,0.5721744298934937,OLIN
2,1,1,0.5554609894752502,OLIN
2,1,1,0.8296681046485901,OLIN
2,1,1,0.5620703101158142,OLIN
2,1,0,0.2736305296421051,OHSU
2,1,1,0.6664029359817505,OHSU
2,1,1,0.7496963143348694,OHSU
2,1,1,0.8856456279754639,OHSU
2,1,1,0.8857065439224243,OHSU
2,0,1,0.8857547640800476,OHSU
2,0,0,0.2776624858379364,OHSU
2,0,0,0.07652305066585541,OHSU
2,0,1,0.6573574542999268,OHSU
2,0,1,0.8202770948410034,OHSU
2,1,1,0.878630518913269,SDSU
2,1,1,0.8856271505355835,SDSU
2,0,1,0.8376919627189636,SDSU
2,0,1,0.8634520769119263,SDSU
2,0,1,0.6812883615493774,SDSU
2,0,1,0.8354998230934143,SDSU
2,0,1,0.8858687877655029,SDSU
2,0,1,0.8858585357666016,SDSU
2,1,1,0.7788103818893433,TRINITY
2,1,1,0.8491132259368896,TRINITY
2,1,1,0.683929979801178,TRINITY
2,0,0,0.27754515409469604,TRINITY
2,0,1,0.8569973707199097,TRINITY
2,0,0,0.3338123559951782,TRINITY
